,Accession,Organism_Name,SRA_Accession,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,Host,Isolation_Source,BioSample,GenBank_Title
6080,NC_022037,Brazoran virus,,"National Center for Biotechnology Information, NIH",USA,2013-08-09,Original,Orthobunyavirus brazoriaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),1672,RefSeq,complete,,S,,USA,USA,Culex,,,"Brazoran virus segment S, complete sequence"
6081,NC_022038,Brazoran virus,,"National Center for Biotechnology Information, NIH",USA,2013-08-09,Original,Orthobunyavirus brazoriaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),4659,RefSeq,complete,,M,,USA,USA,Culex,,,"Brazoran virus segment M, complete sequence"
6082,NC_022039,Brazoran virus,,"National Center for Biotechnology Information, NIH",USA,2013-08-09,Original,Orthobunyavirus brazoriaense,Orthobunyavirus,Peribunyaviridae,ssRNA(-),6911,RefSeq,complete,,L,,USA,USA,Culex,,,"Brazoran virus segment L, complete sequence"
6083,NC_021926,Calibrachoa mottle virus,,"National Center for Biotechnology Information, NIH",USA,2013-08-06,California,Alphacarmovirus calibrachoae,Alphacarmovirus,Tombusviridae,ssRNA(+),3919,RefSeq,complete,,,1.0,USA,USA,Cajanus cajan,,,"Calibrachoa mottle virus isolate California, complete genome"
6084,NC_021928,Human parainfluenza virus 4a,,"National Center for Biotechnology Information, NIH",USA,2013-08-06,,Orthorubulavirus hominis,Orthorubulavirus,Paramyxoviridae,ssRNA(-),17052,RefSeq,complete,,,1.0,Japan,Japan,,,,"Human parainfluenza virus 4a viral cRNA, complete genome, strain: M-25"
6085,NC_021786,Habenaria mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2013-07-23,Ha-1,Habenaria mosaic virus,Potyvirus,Potyviridae,ssRNA(+),9499,RefSeq,complete,,,1.0,Japan: Okayama,Japan,Habenaria radiata,,,"Habenaria mosaic virus genomic RNA, complete genome, isolate: Ha-1"
6086,NC_021851,Tomato blistering mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2013-07-23,SC50,Tymovirus lycopersici,Tymovirus,Tymoviridae,ssRNA(+),6277,RefSeq,complete,,,,Brazil,Brazil,Solanum lycopersicum,,,"Tomato blistering mosaic virus isolate SC50, complete genome"
6089,NC_021735,Burdock mottle virus,,"National Center for Biotechnology Information, NIH",USA,2013-07-16,S,Burdock mottle virus,Benyvirus,Benyviridae,ssRNA(+),7038,RefSeq,complete,,RNA 1,1.0,Japan: Okayama,Japan,Arctium lappa,,,"Burdock mottle virus genomic RNA, RNA 1, complete sequence"
6090,NC_021736,Burdock mottle virus,,"National Center for Biotechnology Information, NIH",USA,2013-07-16,S,Burdock mottle virus,Benyvirus,Benyviridae,ssRNA(+),4315,RefSeq,complete,,RNA 2,1.0,Japan: Okayama,Japan,Arctium lappa,,,"Burdock mottle virus genomic RNA, RNA 2, complete sequence"
6091,NC_021720,Persimmon viroid 2,,"National Center for Biotechnology Information, NIH",USA,2013-07-10,,Apscaviroid pvd-2,Apscaviroid,Pospiviroidae,ssRNA,358,RefSeq,complete,,,1.0,,,Diospyros virginiana,,,"Persimmon viroid 2 genomic RNA, complete genome"
6092,NC_021705,Thin paspalum asymptomatic virus,,"National Center for Biotechnology Information, NIH",USA,2013-07-08,05TGP00369,Panicovirus paspali,Panicovirus,Tombusviridae,ssRNA(+),4195,RefSeq,complete,,,1.0,"USA: Tallgrass Prairie Preserve, Oklahoma",USA,Paspalum setaceum,,,"Thin paspalum asymptomatic virus strain 2005, complete genome"
6093,NC_021706,Sclerotinia sclerotiorum endornavirus 1,,"National Center for Biotechnology Information, NIH",USA,2013-07-08,,Sclerotinia sclerotiorum betaendornavirus 1,Betaendornavirus,Endornaviridae,dsRNA,10770,RefSeq,complete,,,,China,China,Sclerotinia sclerotiorum,,,"Sclerotinia sclerotiorum endornavirus-1 strain JZJL2, complete genome"
6094,NC_021625,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,3296,RefSeq,complete,,1,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 1, complete sequence"
6095,NC_021626,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,2769,RefSeq,complete,,2,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 2, complete sequence"
6096,NC_021627,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,990,RefSeq,complete,,9,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 9, complete sequence"
6097,NC_021628,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,1068,RefSeq,complete,,8,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 8, complete sequence"
6098,NC_021629,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,706,RefSeq,complete,,10,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 10, complete sequence"
6099,NC_021630,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,2174,RefSeq,complete,,4,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 4, complete sequence"
6100,NC_021631,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,2246,RefSeq,complete,,3,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 3, complete sequence"
6101,NC_021632,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,1791,RefSeq,complete,,5,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 5, complete sequence"
6102,NC_021633,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,1309,RefSeq,complete,,7,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 7, complete sequence"
6103,NC_021634,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,678,RefSeq,complete,,11,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 11, complete sequence"
6104,NC_021635,Rotavirus F chicken/03V0568/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-07-03,,Rotavirus F,Rotavirus,Sedoreoviridae,dsRNA,1314,RefSeq,complete,,6,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus F chicken/03V0568/DEU/2003 segment 6, complete sequence"
6105,NC_021580,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,3014,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 2, complete sequence"
6106,NC_021581,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,2364,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 3, complete sequence"
6107,NC_021582,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,825,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 9, complete sequence"
6108,NC_021583,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,1295,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 5, complete sequence"
6109,NC_021584,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,1012,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 8, complete sequence"
6110,NC_021585,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,1052,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 7, complete sequence"
6111,NC_021586,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,801,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 10, complete sequence"
6112,NC_021587,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,678,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 11, complete sequence"
6113,NC_021588,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,1267,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 6, complete sequence"
6114,NC_021589,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,2352,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 4, complete sequence"
6115,NC_021590,Rotavirus G chicken/03V0567/DEU/2003,,"National Center for Biotechnology Information, NIH",USA,2013-06-29,,Rotavirus G,Rotavirus,Sedoreoviridae,dsRNA,3526,RefSeq,complete,,,1.0,Germany,Germany,Gallus gallus,,,"Rotavirus G chicken/03V0567/DEU/2003 segment 1, complete sequence"
6116,NC_021541,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,3511,RefSeq,complete,,1,,Bangladesh,Bangladesh,,,,"Human rotavirus B strain Bang373 RNA dependent RNA polymerase (VP1) mRNA, complete cds"
6117,NC_021542,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,814,RefSeq,complete,,9,1.0,,,,,,"Human rotavirus B strain Bang373 outer capsid protein (VP7) gene, complete cds"
6118,NC_021543,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,2306,RefSeq,complete,,4,1.0,,,,,,"Human rotavirus B strain Bang373 outer capsid protein (VP4) gene, complete cds"
6119,NC_021544,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,1269,RefSeq,complete,,6,1.0,,,,,,"Human rotavirus B strain Bang373 inner capsid protein (VP6) gene, complete cds"
6120,NC_021545,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,2847,RefSeq,complete,,2,1.0,,,,,,"Human rotavirus B strain Bang373 inner capsid protein (VP2) gene, complete cds"
6121,NC_021546,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,1276,RefSeq,complete,,5,1.0,,,,,,"Human rotavirus B strain Bang373 nonstructural protein 1-1 (NSP1-1), nonstructural protein 1-2 (NSP1-2), and nonstructural protein 1-3 (NSP1-3) genes, complete cds"
6122,NC_021547,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,1179,RefSeq,complete,,7,1.0,,,,,,"Human rotavirus B strain Bang373 nonstructural protein (NSP3) gene, complete cds"
6123,NC_021548,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,1007,RefSeq,complete,,8,1.0,,,,,,"Human rotavirus B strain Bang373 nonstructural protein (NSP2) gene, complete cds"
6124,NC_021549,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,631,RefSeq,complete,,11,1.0,,,,,,"Human rotavirus B strain Bang373 nonstructural protein (NSP5) gene, complete cds"
6125,NC_021550,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,751,RefSeq,complete,,10,1.0,,,,,,"Human rotavirus B strain Bang373 nonstructural protein (NSP4) gene, complete cds"
6126,NC_021551,Human rotavirus B,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,,Rotavirus B,Rotavirus,Sedoreoviridae,dsRNA,2341,RefSeq,complete,,3,,Bangladesh,Bangladesh,,,,"Human rotavirus B strain Bang373 VP3 (VP3) mRNA, complete cds"
6127,NC_021564,Citrus vein enation virus,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,VE-1,Citrus vein enation virus,Enamovirus,Solemoviridae,ssRNA(+),5983,RefSeq,complete,,,1.0,Spain:Castellon,Spain,Citrus,,,"Citrus vein enation virus, isolate VE-1, complete genome"
6128,NC_021565,Rosellinia necatrix victorivirus 1,,"National Center for Biotechnology Information, NIH",USA,2013-06-24,W1029,Rosellinia necatrix victorivirus 1,Victorivirus,Totiviridae,dsRNA,5329,RefSeq,complete,,,1.0,Japan:Suzaka,Japan,Rosellinia necatrix,,,"Rosellinia necatrix victorivirus 1 RNA, complete genome, isolate: W1029"
6131,NC_021482,Sebokele virus 1,,"National Center for Biotechnology Information, NIH",USA,2013-06-18,,Parechovirus C,Parechovirus,Picornaviridae,ssRNA(+),7537,RefSeq,complete,,,1.0,Central African Republic:Botambi,Central African Republic,Hylomyscus,,,"Sebokele virus 1 ORF1 gene for polyprotein, genomic RNA, strain 1"
6133,NC_021481,Barley yellow dwarf virus kerII,,"National Center for Biotechnology Information, NIH",USA,2013-06-17,K439,Luteovirus kerbihordei,Luteovirus,Tombusviridae,ssRNA(+),5736,RefSeq,complete,,,1.0,France: Kerguelen Islands TC13,France,Poa cookii,,,"Barley yellow dwarf virus Ker-II isolate K439, complete genome"
6134,NC_021484,Maize yellow dwarf virus RMV,,"National Center for Biotechnology Information, NIH",USA,2013-06-17,,Maize yellow dwarf virus RMV,Polerovirus,Solemoviridae,ssRNA(+),5612,RefSeq,complete,,,1.0,USA,USA,Triticum aestivum,,,"Maize yellow dwarf virus-RMV, complete genome"
6135,NC_021242,Lone Star virus,,"National Center for Biotechnology Information, NIH",USA,2013-05-21,TMA 1381,Bandavirus amblyommae,Bandavirus,Phenuiviridae,ssRNA(+/-),6341,RefSeq,complete,,L,1.0,USA: Kentucky,USA,Amblyomma americanum,,,"Lone Star virus isolate TMA 1381 segment L, complete sequence"
6136,NC_021243,Lone Star virus,,"National Center for Biotechnology Information, NIH",USA,2013-05-21,TMA 1381,Bandavirus amblyommae,Bandavirus,Phenuiviridae,ssRNA(+/-),3313,RefSeq,complete,,M,1.0,USA: Kentucky,USA,Amblyomma americanum,,,"Lone Star virus isolate TMA 1381 segment M, complete sequence"
6137,NC_021244,Lone Star virus,,"National Center for Biotechnology Information, NIH",USA,2013-05-21,TMA 1381,Bandavirus amblyommae,Bandavirus,Phenuiviridae,ssRNA(+/-),1876,RefSeq,complete,,S,1.0,USA: Kentucky,USA,Amblyomma americanum,,,"Lone Star virus isolate TMA 1381 segment S, complete sequence"
6138,NC_021220,Enterovirus F,,"National Center for Biotechnology Information, NIH",USA,2013-05-16,,Enterovirus F,Enterovirus,Picornaviridae,ssRNA(+),7397,RefSeq,complete,2,,1.0,,,,,,"Enterovirus F strain BEV-261 polyprotein gene, complete cds"
6141,NC_021201,Turkey hepatitis virus 2993D,,"National Center for Biotechnology Information, NIH",USA,2013-05-13,,Melegrivirus A,Megrivirus,Picornaviridae,ssRNA(+),9075,RefSeq,complete,,,1.0,USA,USA,Meleagris gallopavo,"liver, abdominal cavity",,"Turkey hepatitis virus 2993D polyprotein gene, complete cds"
6142,NC_021197,Donkey orchid virus A,,"National Center for Biotechnology Information, NIH",USA,2013-05-10,SW3.1,Donkey orchid virus A,Potyvirus,Potyviridae,ssRNA(+),9868,RefSeq,complete,,,1.0,Australia,Australia,Diuris corymbosa,,,"Donkey orchid virus A isolate SW3.1 polyprotein gene, complete cds"
6143,NC_021178,Canine picodicistrovirus,,"National Center for Biotechnology Information, NIH",USA,2013-05-06,,Cadicivirus A,Dicipivirus,Picornaviridae,ssRNA(+),8785,RefSeq,complete,,,1.0,Hong Kong,Hong Kong,Canis lupus familiaris,,,"Canine picodicistrovirus strain 209, complete genome"
6144,NC_021153,Rodent hepacivirus,,"National Center for Biotechnology Information, NIH",USA,2013-05-01,RHV-339,Rodent hepacivirus,Hepacivirus,Flaviviridae,ssRNA(+),8879,RefSeq,complete,,,1.0,USA,USA,Peromyscus maniculatus,blood,,"Rodent hepacivirus, complete genome"
6145,NC_021154,Rodent pegivirus,,"National Center for Biotechnology Information, NIH",USA,2013-05-01,CC61,Pegivirus neotomae,Pegivirus,Flaviviridae,ssRNA(+),11279,RefSeq,complete,,,1.0,USA,USA,Neotoma lepida,,,"Rodent pegivirus isolate CC61, complete genome"
6146,NC_021147,Dill cryptic virus 2,,"National Center for Biotechnology Information, NIH",USA,2013-04-24,IPP_hortorum,Dill cryptic virus 2,Betapartitivirus,Partitiviridae,dsRNA,2430,RefSeq,complete,,RNA 1,1.0,Germany,Germany,Anethum graveolens,,,"Dill cryptic virus 2 isolate IPP_hortorum segment RNA 1, complete sequence"
6147,NC_021148,Dill cryptic virus 2,,"National Center for Biotechnology Information, NIH",USA,2013-04-24,IPP_hortorum,Dill cryptic virus 2,Betapartitivirus,Partitiviridae,dsRNA,2354,RefSeq,complete,,RNA 2,1.0,Germany,Germany,Anethum graveolens,,,"Dill cryptic virus 2 isolate IPP_hortorum segment RNA 2, complete sequence"
6148,NC_021094,White clover cryptic virus 2,,"National Center for Biotechnology Information, NIH",USA,2013-04-23,IPP_Lirepa,White clover cryptic virus 2,Betapartitivirus,Partitiviridae,dsRNA,2435,RefSeq,complete,,RNA 1,1.0,Germany,Germany,Trifolium repens,,,"White clover cryptic virus 2 isolate IPP_Lirepa segment RNA 1, complete sequence"
6149,NC_021095,White clover cryptic virus 2,,"National Center for Biotechnology Information, NIH",USA,2013-04-23,IPP_Lirepa,White clover cryptic virus 2,Betapartitivirus,Partitiviridae,dsRNA,2348,RefSeq,complete,,RNA 2,1.0,Germany,Germany,Trifolium repens,,,"White clover cryptic virus 2 isolate IPP_Lirepa segment RNA 2, complete sequence"
6150,NC_021096,Red clover cryptic virus 2,,"National Center for Biotechnology Information, NIH",USA,2013-04-23,IPP_Nemaro,Red clover cryptic virus 2,Betapartitivirus,Partitiviridae,dsRNA,2430,RefSeq,complete,,RNA 1,1.0,Germany,Germany,Trifolium pratense,,,"Red clover cryptic virus 2 isolate IPP_Nemaro segment RNA 1, complete sequence"
6151,NC_021097,Red clover cryptic virus 2,,"National Center for Biotechnology Information, NIH",USA,2013-04-23,IPP_Nemaro,Red clover cryptic virus 2,Betapartitivirus,Partitiviridae,dsRNA,2353,RefSeq,complete,,RNA 2,1.0,Germany,Germany,Trifolium pratense,,,"Red clover cryptic virus 2 isolate IPP_Nemaro segment RNA 2, complete sequence"
6152,NC_021098,Hop trefoil cryptic virus 2,,"National Center for Biotechnology Information, NIH",USA,2013-04-23,IPP_GelbSK,Hop trefoil cryptic virus 2,Betapartitivirus,Partitiviridae,dsRNA,2431,RefSeq,complete,,RNA 1,1.0,Germany,Germany,Medicago lupulina,,,"Hop trefoil cryptic virus 2 isolate IPP_GelbSK segment RNA 1, complete sequence"
6153,NC_021099,Hop trefoil cryptic virus 2,,"National Center for Biotechnology Information, NIH",USA,2013-04-23,IPP_GelbSK,Hop trefoil cryptic virus 2,Betapartitivirus,Partitiviridae,dsRNA,2349,RefSeq,complete,,RNA 2,1.0,Germany,Germany,Medicago lupulina,,,"Hop trefoil cryptic virus 2 isolate IPP_GelbSK segment RNA 2, complete sequence"
6154,NC_021065,Sunflower mild mosaic virus,,"National Center for Biotechnology Information, NIH",USA,2013-04-22,Entre Rios,Sunflower mild mosaic virus,Potyvirus,Potyviridae,ssRNA(+),9718,RefSeq,complete,,,,Argentina,Argentina,Helianthus annuus,,,"Sunflower mild mosaic virus isolate Entre Rios, complete genome"
6156,NC_020996,Cherry rusty mottle associated virus,,"National Center for Biotechnology Information, NIH",USA,2013-04-15,95CI192R3,Cherry rusty mottle associated virus,Robigovirus,Betaflexiviridae,ssRNA(+),8397,RefSeq,complete,,,1.0,USA,USA,Prunus avium,,,"Cherry rusty mottle associated virus isolate 95CI192R3, complete genome"
6157,NC_020997,Ustilaginoidea virens RNA virus 1,,"National Center for Biotechnology Information, NIH",USA,2013-04-15,,Ustilaginoidea virens RNA virus 1,Victorivirus,Totiviridae,dsRNA,5142,RefSeq,complete,,,1.0,China,China,Ustilaginoidea virens,,,"Ustilaginoidea virens RNA virus 1, complete genome"
6158,NC_020899,Alphamesonivirus 2,,"National Center for Biotechnology Information, NIH",USA,2013-04-05,,Alphamesonivirus 2,Alphamesonivirus,Mesoniviridae,ssRNA(+),20070,RefSeq,complete,,,1.0,Cote d'Ivoire,Cote d'Ivoire,Culex,,,"Hana virus strain A4/CI/2004, complete genome"
6159,NC_020900,Alphamesonivirus 3,,"National Center for Biotechnology Information, NIH",USA,2013-04-05,,Alphamesonivirus 3,Alphamesonivirus,Mesoniviridae,ssRNA(+),19979,RefSeq,complete,,,1.0,Cote d'Ivoire,Cote d'Ivoire,Uranotaenia chorleyi,,,"Meno virus strain E9/CI/2004, complete genome"
6160,NC_020901,Alphamesonivirus 4,,"National Center for Biotechnology Information, NIH",USA,2013-04-05,,Alphamesonivirus 4,Alphamesonivirus,Mesoniviridae,ssRNA(+),20074,RefSeq,complete,,,1.0,Cote d'Ivoire,Cote d'Ivoire,Culex nebulosus,,,"Nse virus strain F24/CI/2004, complete genome"
6161,NC_020902,Equine pegivirus 1,,"National Center for Biotechnology Information, NIH",USA,2013-04-05,C0035,Pegivirus caballi,Pegivirus,Flaviviridae,ssRNA(+),11197,RefSeq,complete,,,2.0,USA,USA,Equus caballus,,,"Equine Pegivirus 1 isolate C0035, complete genome"
6162,NC_020903,Xanthophyllomyces dendrorhous virus L1A,,"National Center for Biotechnology Information, NIH",USA,2013-04-05,,Xanthophyllomyces dendrorhous virus L1A,Totivirus,Totiviridae,dsRNA,4655,RefSeq,complete,,,1.0,,,Phaffia rhodozyma,,,"Xanthophyllomyces dendrorhous virus L1A capsid protein (CP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds"
6163,NC_020896,Sweet potato latent virus,,"National Center for Biotechnology Information, NIH",USA,2013-04-03,,Sweet potato latent virus,Potyvirus,Potyviridae,ssRNA(+),10081,RefSeq,complete,,,1.0,Taiwan,Taiwan,Ipomoea batatas,,,"Sweet potato latent virus, complete genome"
6164,NC_020897,Arracacha virus B,,"National Center for Biotechnology Information, NIH",USA,2013-04-03,,Cheravirus arracaciae,Cheravirus,Secoviridae,ssRNA(+),3486,RefSeq,complete,,RNA 2,1.0,Peru,Peru,Oxalis tuberosa,,,"Arracacha virus B strain oca segment RNA2, complete sequence"
6165,NC_020898,Arracacha virus B,,"National Center for Biotechnology Information, NIH",USA,2013-04-03,PV-0082,Cheravirus arracaciae,Cheravirus,Secoviridae,ssRNA(+),7253,RefSeq,complete,,RNA 1,1.0,Peru,Peru,Oxalis tuberosa,,,"Arracacha virus B isolate PV-0082 polyprotein gene, complete cds"
6166,NC_020803,Perhabdovirus perca,,"National Center for Biotechnology Information, NIH",USA,2013-03-26,PRV,Perhabdovirus perca,Perhabdovirus,Rhabdoviridae,ssRNA(-),11487,RefSeq,complete,,,1.0,France,France,Perca fluviatilis,,,"Perch perhabdovirus isolate PRV nucleoprotein (N) gene, nucleocapsid (N) gene, complete cds; and phosphoprotein (P), matrix protein (M), glycoprotein (G), and RNA dependent RNA polymerase (L) genes, complete cds"
6167,NC_020804,Tibrogargan virus,,"National Center for Biotechnology Information, NIH",USA,2013-03-26,,Tibrovirus tibrogargan,Tibrovirus,Rhabdoviridae,ssRNA(-),13298,RefSeq,complete,,,1.0,Australia,Australia,Culicoides brevitarsis,,,"Tibrogargan virus strain CS132, complete genome"
6168,NC_020805,Chandipura virus,,"National Center for Biotechnology Information, NIH",USA,2013-03-26,CIN 0451,Vesiculovirus chandipura,Vesiculovirus,Rhabdoviridae,ssRNA(-),11120,RefSeq,complete,,,1.0,"India: Vadodara, Gujarat",India,Homo sapiens,,,"Chandipura virus isolate CIN 0451, complete genome"
6169,NC_020806,Isfahan virus,,"National Center for Biotechnology Information, NIH",USA,2013-03-26,,Vesiculovirus isfahan,Vesiculovirus,Rhabdoviridae,ssRNA(-),11088,RefSeq,complete,,,1.0,Iran:Isfahan province,Iran,Phlebotomus papatasi,,,"Isfahan virus N gene, P gene, M gene, G gene and L gene, genomic RNA"
6170,NC_020807,Lyssavirus lagos,,"National Center for Biotechnology Information, NIH",USA,2013-03-26,0406SEN,Lyssavirus lagos,Lyssavirus,Rhabdoviridae,ssRNA(-),12016,RefSeq,complete,,,1.0,Senegal,Senegal,Eidolon helvum,,,"Lagos bat virus isolate 0406SEN, complete genome"
6171,NC_020808,Lyssavirus aravan,,"National Center for Biotechnology Information, NIH",USA,2013-03-26,,Lyssavirus aravan,Lyssavirus,Rhabdoviridae,ssRNA(-),11918,RefSeq,complete,,,2.0,Kyrgyzstan,Kyrgyzstan,,,,"Aravan virus, complete genome"
6172,NC_020809,Lyssavirus irkut,,"National Center for Biotechnology Information, NIH",USA,2013-03-26,,Lyssavirus irkut,Lyssavirus,Rhabdoviridae,ssRNA(-),11980,RefSeq,complete,,,2.0,Russia,Russia,,,,"Irkut virus, complete genome"
6173,NC_020810,Lyssavirus duvenhage,,"National Center for Biotechnology Information, NIH",USA,2013-03-26,86132SA,Lyssavirus duvenhage,Lyssavirus,Rhabdoviridae,ssRNA(-),11976,RefSeq,complete,,,1.0,South Africa,South Africa,Homo sapiens,,,"Duvenhage virus isolate 86132SA, complete genome"
